,Title,Document type,Reference Number,Date,Source,Status,Subject,Meeting,Treaty,Website,Field of application,Abstract
53,"Agreement between the International Atomic Energy Agency, the Government of the Republic of Ghana and the Government of the Peoples Republic of China for Assistance in Securing Low Enriched Uranium fo",Multilateral,No Data,"Jun 19, 2014",IUCN (ID: TRE-160037),No Data,Energy,No Data,No Data,www.iaea.org,Global,"The Government of the Republic of Ghana, desiring to convert the core of the 30 kw miniature neutron research reactor located at Kwabenya (Legon) -Accra in Ghana from the use of high enriched uranium fuel to the use of low enriched uranium fuel, has requested the assistance of the International Atomic Energy Agency in securing the transfer of LEU fuel for the reactor. Art. 1: (1)The project which is the subject of this Agreement is the supply by China, through the IAEA, of LEU fuel to Ghana for the operation of the reactor, which is located at Kwabenya-Accra in Ghana. (2) This Agreement shall apply, mutatis mutandis, to any additional assistance provided by the IAEA to Ghana and for the project. (3) Except as specified in this Agreement, neither the IAEA nor China shall assume any obligations or responsibilities insofar as the project is concerned. Ghana shall assume full responsibility for any claims arising out of its activities in connection with the project."
54,The Protocol for the Conservation of Biological Diversity to the Framework Convention for the Protection of the Marine Environment of the Caspian Sea,Multilateral,No Data,"May 30, 2014",IUCN (ID: TRE-160027),No Data,"Sea, Wild species &amp; ecosystems",No Data,No Data,www.tehranconvention.org,Regional/restricted,"The objectives of this Protocol are to protect, preserve and restore the health and integrity of the biological diversity and the ecosystem of the Caspian Sea as well as to ensure the sustainable use of biological resources and in that context:  a) To safeguard threatened species, and vulnerable ecosystems, to ensure their long-term viability and diversity; b) To prevent decline, degradation and damage to species, habitats and ecological systems, directed by the precautionary principle; c) To protect and conserve those areas that best represent the high range of species, special habitats, ecological systems and natural and related cultural heritage. (Art. 2)"
55,Minamata Convention on Mercury,Multilateral,No Data,"Oct 10, 2013",IUCN (ID: TRE-160007),No Data,"Mineral resources, Waste &amp; hazardous substances, Air &amp; atmosphere",No Data,No Data,treaties.un.org,Global,The objective of this convention is to protect the human health and the environment from anthropogenic emissions and releases of mercury and mercury components.
56,"Agreement on Cooperation on Marine Oil Pollution, Preparedness and Response in the Arctic",Multilateral,No Data,"May 15, 2013",IUCN (ID: TRE-160032),No Data,Sea,No Data,No Data,emeritus.lovdata.no,Regional/restricted,"The objective of this Agreement is to strengthen cooperation, coordination and mutual assistance among the Parties on oil pollution preparedness and response in the Arctic in order to protect the marine environment from pollution by oil. (Art. 1)"
57,The Arms Trade Treaty,Multilateral,No Data,"Apr 2, 2013",IUCN (ID: TRE-160004),No Data,Legal questions,No Data,No Data,www.un.org,Global,The objectif of this treaty is to establish common international standards for regulating or improving the regulation of the internaitonal trade in conventional arms and to prevent and eradicate illicit trade in conventional arms.
58,Amendments to the Text of and Annexes Other than III and VII to the 1998 Protocol on Heavy Metals,Multilateral,No Data,"Dec 13, 2012",IUCN (ID: TRE-160061),No Data,"Waste &amp; hazardous substances, Air &amp; atmosphere",No Data,No Data,treaties.un.org,Regional/restricted,No Data
59,Protocol for the Protection of the Caspian Sea against Pollution from LandBased Sources and Activities to the Framework Convention for the Protection of the Marine Environment of the Caspian Sea,Multilateral,No Data,"Dec 12, 2012",IUCN (ID: TRE-160008),No Data,"Sea, Waste &amp; hazardous substances",No Data,No Data,www.tehranconvention.org,Regional/restricted,"The purpose of this Protocol is to prevent, control, reduce and to the maximum extent possible eliminate pollution of the marine environment from land-based sources and activities in order to achieve and maintain an environmentally sound marine environment of the Caspian Sea."
60,Doha Amendment to the Kyoto Protocol,Multilateral,No Data,"Dec 8, 2012",IUCN (ID: TRE-159939),No Data,Air &amp; atmosphere,No Data,No Data,treaties.un.org,Global,No Data
61,Treaty between the Government of the Republic of Moldova and the Cabinet of Ministers of Ukraine on Cooperation in the Field of Protection and Sustainable Development of the Dniester River Basin,Bilateral,No Data,"Nov 29, 2012","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-160050)",No Data,Water,No Data,No Data,www.unece.org\n          \n            \n            dniester-basin.org,Regional/restricted,"The new Treaty identifies principles and provides a framework for cooperation on water pollution prevention and control, water flow regulation, conservation of biodiversity and protection of the Black Sea environment. It also addresses the monitoring of data exchange, public participation and cooperation in emergency situations.  (Source: http://www.unece.org/env/water/eeurope.html)"
62,Agreement for the Establishment of the African Risk Capacity ARC Agency,Multilateral,No Data,"Nov 23, 2012",IUCN (ID: TRE-160009),No Data,"Environment gen., Air &amp; atmosphere",No Data,No Data,www.africanriskcapacity.org,Regional/restricted,"Art. 2(Establishment): The ARC Agency is hereby established as a Specialized Agency of the AU to help Member States of the African Union to improve their capacities to better plan, prepare and respond to Extreme Weather Events and Natural Disasters. Art. 3(Objective of the ARC Agency): The objective of the ARC Agency is to assist the Member states to reduce the risk of loss and damage caused by Extreme Weather Events and Natural Disastersaffecting Africa\'s populations by providing targeted responses to disasters in a more timely, cost-effective, objective and transparent manner."
63,Interim International Cooperative Measures in the Colorado River Basin through 2017 and Extension of Minute 318 Cooperative Measures to Address the Continued Effects of the April 2010 Earthquake in th,Bilateral,No Data,"Nov 20, 2012","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-160010)",No Data,Water,No Data,No Data,www.ibwc.gov\n          \n            \n            www.state.gov,Regional/restricted,"Minute 319 is the most recent amendment to the 1944 treaty governing the Colorado River, shared between Mexico and the United States. The amendment was adopted, in part, as a continuing response to the 2010 Mexicali earthquake, which severely damaged Mexican irrigation infrastructure, as well as ongoing objectives to address dwindling water supplies in the basin. By implementing measures to share both shortages and surpluses, and by facilitating long-term collaborative efforts that engender interdependencies, the amendment commits the parties to cooperate and may serve as a model for other regions sharing limited transboundary freshwater resources. (Source: http://www.tandfonline.com)"
64,Strasbourg Convention on the Limitation of Liability in Inland Navigation CLNI 2012,Multilateral,No Data,"Sep 27, 2012",IUCN (ID: TRE-160029),No Data,"Water, Legal questions",No Data,No Data,www.ccr-zkr.org,Regional/restricted,"The purpose of the revision is to improve the legal security of international river transport and to ensure adequate compensation for parties suffering some prejudice. The CLNI 2012: - extends the scope of application of the limitations on liability to river transport on other major waterways, including the Danube, the Elbe, the Oder and the Save, whereas they have previously generally been limited to river transport on the Rhine and its tributaries, and - increases the limits of liability, also thereby increasing the protection afforded to passengers carried by river navigation. (Source: http://www.ccr-zkr.org/index.php?page=10110000&folder=en&id_art=36)"
65,"Protocol amending the 1978 Agreement Between The United States of America and Canada on Great Lakes Water Quality, as amended on September 7th, 2012",Bilateral,No Data,"Sep 7, 2012","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-160062)",No Data,Water,No Data,No Data,No Data,Regional/restricted,No Data
66,Agreement on the Establishment of the Global Green Growth Institute,Multilateral,No Data,"Jun 20, 2012",IUCN (ID: TRE-160033),No Data,Environment gen.,No Data,No Data,gggi.org,Global,"Based in Seoul, GGGI is an intergovernmental organization founded to support and promote a new model of economic growth known as ""green growth."" The organization partners with countries to help them build economies that grow strongly and are more efficient and sustainable in the use of natural resources, less carbon intensive, and more resilient to climate change. GGGI\xe2\x80\x99s experts are already working with governments around the world, building their capacity and working collaboratively on green growth policies that can impact the lives of millions. (Source: http://gggi.org)"
